City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Rikitea,PF,-23.1203,-134.9692,75.15,70,64,12.01,broken clouds,0.0,0.0
1,Houma,US,29.5958,-90.7195,75.99,79,1,0.0,clear sky,0.0,0.0
2,Bandarbeyla,SO,9.4942,50.8122,77.97,83,90,22.59,overcast clouds,0.0,0.0
3,Avarua,CK,-21.2078,-159.775,78.85,57,40,4.61,scattered clouds,0.0,0.0
4,Atuona,PF,-9.8,-139.0333,79.47,67,3,9.01,clear sky,0.0,0.0
5,East London,ZA,-33.0153,27.9116,55.8,67,100,9.75,overcast clouds,0.0,0.0
6,Yellowknife,CA,62.456,-114.3525,52.29,53,75,3.0,broken clouds,0.0,0.0
7,Salvador,SV,13.8333,-88.9167,75.6,94,87,2.75,overcast clouds,0.0,0.0
8,Broome,US,42.2506,-75.833,47.91,96,90,4.61,overcast clouds,0.0,0.0
9,Busselton,AU,-33.65,115.3333,57.09,64,100,13.76,overcast clouds,0.0,0.0
10,Goderich,CA,43.7501,-81.7165,52.03,71,58,2.3,broken clouds,0.0,0.0
11,Cape Town,ZA,-33.9258,18.4232,56.08,91,75,8.39,moderate rain,1.02,0.0
12,Muros,ES,42.7762,-9.0603,64.83,81,3,4.74,clear sky,0.0,0.0
13,Fayaoue,NC,-20.65,166.5333,72.28,60,14,10.36,few clouds,0.0,0.0
14,Fairbanks,US,64.8378,-147.7164,68.59,36,40,9.22,scattered clouds,0.0,0.0
15,Butaritari,KI,3.0707,172.7902,82.96,78,24,13.04,few clouds,0.0,0.0
16,Punta Arenas,CL,-53.15,-70.9167,30.31,80,40,7.58,scattered clouds,0.0,0.0
17,Ponta Do Sol,PT,32.6667,-17.1,64.0,56,13,2.17,few clouds,0.0,0.0
18,Puerto Ayora,EC,-0.7393,-90.3518,73.54,87,3,7.0,clear sky,0.0,0.0
19,Grindavik,IS,63.8424,-22.4338,42.91,93,75,20.6,broken clouds,0.0,0.0
20,Ushuaia,AR,-54.8,-68.3,28.06,100,75,5.75,broken clouds,0.0,0.0
21,Keningau,MY,5.3378,116.1602,84.65,62,98,0.85,overcast clouds,0.0,0.0
22,Constitucion,CL,-35.3333,-72.4167,55.36,74,95,3.71,overcast clouds,0.0,0.0
23,Isiro,CD,2.7739,27.616,66.78,98,61,2.48,broken clouds,0.0,0.0
24,Rawson,AR,-43.3002,-65.1023,53.94,63,49,27.69,scattered clouds,0.0,0.0
25,Dingle,PH,10.9995,122.6711,87.31,67,34,3.42,light rain,0.12,0.0
26,Lorengau,PG,-2.0226,147.2712,83.98,73,100,10.25,overcast clouds,0.0,0.0
27,Hermanus,ZA,-34.4187,19.2345,53.91,71,100,7.83,overcast clouds,0.0,0.0
28,Nishihara,JP,26.1842,127.7558,78.08,78,90,20.51,overcast clouds,0.0,0.0
29,Albany,US,42.6001,-73.9662,47.84,94,100,3.38,overcast clouds,0.0,0.0
30,Kodiak,US,57.79,-152.4072,47.71,81,90,12.66,overcast clouds,0.0,0.0
31,Waingapu,ID,-9.6567,120.2641,83.37,61,92,4.63,overcast clouds,0.0,0.0
32,Bilma,NE,18.6853,12.9164,86.23,11,77,7.78,broken clouds,0.0,0.0
33,Padang,ID,-0.9492,100.3543,82.45,80,99,1.01,overcast clouds,0.0,0.0
34,Iralaya,HN,15.0,-83.2333,80.46,79,27,10.38,scattered clouds,0.0,0.0
35,Bowen,AU,-20.0167,148.2333,75.42,59,97,19.51,overcast clouds,0.0,0.0
36,Torbay,CA,47.6666,-52.7314,48.67,80,75,9.22,broken clouds,0.0,0.0
37,Robertsport,LR,6.7533,-11.3686,79.18,83,100,6.29,moderate rain,2.03,0.0
38,Arraial Do Cabo,BR,-22.9661,-42.0278,73.6,87,100,10.71,overcast clouds,0.0,0.0
39,Bluff,NZ,-46.6,168.3333,49.8,88,100,20.47,overcast clouds,0.0,0.0
40,Axim,GH,4.8699,-2.2405,78.73,87,100,6.93,light rain,0.13,0.0
41,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.35,98,100,1.86,overcast clouds,0.0,0.0
42,Kuopio,FI,62.8924,27.677,48.15,66,0,7.36,clear sky,0.0,0.0
43,Nikel,RU,69.4128,30.222,42.98,81,100,10.27,overcast clouds,0.0,0.0
44,Kaitangata,NZ,-46.2817,169.8464,55.92,89,100,7.38,overcast clouds,0.0,0.0
45,Hilo,US,19.7297,-155.09,86.29,83,90,11.5,heavy intensity rain,10.16,0.0
46,Betafo,MG,-19.8333,46.85,53.11,84,0,2.06,clear sky,0.0,0.0
47,Hueytown,US,33.4512,-86.9967,64.62,84,2,4.74,clear sky,0.0,0.0
48,Barrow,US,71.2906,-156.7887,33.82,75,90,19.57,overcast clouds,0.0,0.0
49,Genc,TR,38.7507,40.5603,58.84,43,0,2.77,clear sky,0.0,0.0
50,Skelleftea,SE,64.7507,20.9528,54.0,53,20,1.01,few clouds,0.0,0.0
51,Faanui,PF,-16.4833,-151.75,79.68,72,100,15.75,overcast clouds,0.0,0.0
52,Stornoway,GB,58.2093,-6.3865,52.93,87,57,6.91,broken clouds,0.0,0.0
53,Cidreira,BR,-30.1811,-50.2056,48.52,65,24,7.31,few clouds,0.0,0.0
54,Bentonville,US,36.3728,-94.2088,64.62,77,1,4.61,clear sky,0.0,0.0
55,Coquimbo,CL,-29.9533,-71.3436,53.33,93,7,3.6,clear sky,0.0,0.0
56,Banjarmasin,ID,-3.3244,114.591,86.14,60,41,2.42,scattered clouds,0.0,0.0
57,Lagoa,PT,39.05,-27.9833,62.31,87,94,10.07,overcast clouds,0.0,0.0
58,Bredasdorp,ZA,-34.5322,20.0403,49.32,93,100,4.07,overcast clouds,0.0,0.0
59,Nanortalik,GL,60.1432,-45.2371,36.19,89,6,17.74,clear sky,0.0,0.0
60,Acapulco,MX,16.8634,-99.8901,85.82,70,90,4.97,overcast clouds,0.0,0.0
61,Aztec,US,36.8222,-107.9929,81.81,14,63,11.68,broken clouds,0.0,0.0
62,Saint-Philippe,RE,-21.3585,55.7679,70.21,82,2,6.02,clear sky,0.0,0.0
63,Zaragoza,ES,41.6561,-0.8773,68.11,64,0,1.01,clear sky,0.0,0.0
64,Mataura,NZ,-46.1927,168.8643,49.48,98,100,4.9,overcast clouds,0.0,0.0
65,Te Anau,NZ,-45.4167,167.7167,47.3,94,100,5.57,overcast clouds,0.0,0.0
66,Kapaa,US,22.0752,-159.319,83.19,62,75,1.01,broken clouds,0.0,0.0
67,Lixourion,GR,38.2019,20.4314,63.52,85,18,12.3,few clouds,0.0,0.0
68,Farah,AF,32.5,62.5,81.07,14,0,6.73,clear sky,0.0,0.0
69,Bridgetown,BB,13.1,-59.6167,81.09,65,75,19.1,broken clouds,0.0,0.0
70,Sao Filipe,CV,14.8961,-24.4956,72.41,83,52,6.93,broken clouds,0.0,0.0
71,Brae,GB,60.3964,-1.353,46.31,96,29,9.64,scattered clouds,0.0,0.0
72,College,US,64.8569,-147.8028,69.46,36,75,0.0,broken clouds,0.0,0.0
73,Rocha,UY,-34.4833,-54.3333,40.87,70,86,5.88,overcast clouds,0.0,0.0
74,Port-Gentil,GA,-0.7193,8.7815,78.93,84,100,17.85,overcast clouds,0.0,0.0
75,Hithadhoo,MV,-0.6,73.0833,83.79,70,8,18.21,clear sky,0.0,0.0
76,Nizwa,OM,22.9333,57.5333,83.08,37,60,1.23,broken clouds,0.0,0.0
77,Saint Anthony,US,45.0205,-93.218,61.12,84,75,3.0,broken clouds,0.0,0.0
78,Kamaishi,JP,39.2667,141.8833,67.15,59,58,7.38,broken clouds,0.0,0.0
79,Baghmara,IN,23.795,86.2085,89.73,51,66,9.82,broken clouds,0.0,0.0
80,Dikson,RU,73.5069,80.5464,30.22,98,100,10.27,light snow,0.0,0.45
81,Codrington,AU,-38.2667,141.9667,56.35,41,92,14.41,overcast clouds,0.0,0.0
82,Baiyin,CN,36.5583,104.2081,67.08,31,100,8.28,overcast clouds,0.0,0.0
83,Qaqortoq,GL,60.7167,-46.0333,43.3,75,4,4.52,clear sky,0.0,0.0
84,Dicabisagan,PH,17.0818,122.4157,90.28,61,42,8.03,scattered clouds,0.0,0.0
85,Cordoba,AR,-31.4135,-64.1811,52.75,60,0,6.33,clear sky,0.0,0.0
86,Nikolskoye,RU,59.7035,30.7861,39.78,69,87,2.84,overcast clouds,0.0,0.0
87,Souillac,MU,-20.5167,57.5167,71.37,94,20,6.76,light rain,0.12,0.0
88,Honjo,JP,36.2333,139.1833,78.67,42,3,4.61,clear sky,0.0,0.0
89,Port Alfred,ZA,-33.5906,26.891,55.99,69,100,13.96,overcast clouds,0.0,0.0
90,Castro,BR,-24.7911,-50.0119,56.71,99,100,3.22,overcast clouds,0.0,0.0
91,Upernavik,GL,72.7868,-56.1549,30.83,95,100,3.62,overcast clouds,0.0,0.0
92,Grand Gaube,MU,-20.0064,57.6608,71.38,83,16,1.99,few clouds,0.0,0.0
93,Qaanaaq,GL,77.484,-69.3632,29.03,93,100,4.25,overcast clouds,0.0,0.0
94,Norman Wells,CA,65.282,-126.8329,55.44,54,75,11.5,broken clouds,0.0,0.0
95,Cabo San Lucas,MX,22.8909,-109.9124,86.5,34,1,17.27,clear sky,0.0,0.0
96,Matagami,CA,49.7502,-77.6328,51.91,50,1,6.17,clear sky,0.0,0.0
97,Hearst,CA,49.6835,-83.6665,57.45,53,100,10.89,moderate rain,1.2,0.0
98,Mar Del Plata,AR,-38.0023,-57.5575,51.01,67,0,11.99,clear sky,0.0,0.0
99,Nicoya,CR,10.1483,-85.452,80.15,78,88,5.55,overcast clouds,0.0,0.0
100,Sompeta,IN,18.9333,84.6,88.23,73,16,11.43,few clouds,0.0,0.0
101,Ostrovnoy,RU,68.0531,39.5131,43.47,72,100,11.74,overcast clouds,0.0,0.0
102,Sharan,RU,54.8167,54.0,46.35,82,36,11.83,scattered clouds,0.0,0.0
103,Conde,BR,-7.2597,-34.9075,74.66,100,75,5.64,broken clouds,0.0,0.0
104,Yeppoon,AU,-23.1333,150.7333,73.18,65,8,13.04,clear sky,0.0,0.0
105,Kathmandu,NP,27.7167,85.3167,73.62,88,75,2.3,broken clouds,0.0,0.0
106,Byron Bay,AU,-28.65,153.6167,68.11,61,47,13.58,scattered clouds,0.0,0.0
107,Deputatskiy,RU,69.3,139.9,59.72,39,8,17.65,clear sky,0.0,0.0
108,Luwuk,ID,-0.9516,122.7875,84.54,72,100,5.1,overcast clouds,0.0,0.0
109,Hobart,AU,-42.8794,147.3294,53.26,69,0,4.03,clear sky,0.0,0.0
110,Brewster,US,41.3973,-73.6171,49.44,95,100,1.01,overcast clouds,0.0,0.0
111,Tevaitoa,PF,-16.7833,-151.5,79.27,72,100,16.96,overcast clouds,0.0,0.0
112,Shihezi,CN,44.3,86.0333,81.64,19,24,7.31,few clouds,0.0,0.0
113,Alta Floresta,BR,-9.8756,-56.0861,72.61,60,58,2.8,broken clouds,0.0,0.0
114,Kemijarvi,FI,66.7131,27.4306,46.58,68,100,8.3,light rain,0.36,0.0
115,Victoria,HK,22.2855,114.1577,88.97,85,100,1.01,moderate rain,1.33,0.0
116,Erenhot,CN,43.6475,111.9767,60.24,44,60,20.69,broken clouds,0.0,0.0
117,Khatanga,RU,71.9667,102.5,50.52,72,100,7.99,overcast clouds,0.0,0.0
118,Esperance,AU,-33.8667,121.9,60.64,82,100,24.4,light rain,0.37,0.0
119,Andenes,NO,69.3143,16.1194,44.58,87,90,14.97,overcast clouds,0.0,0.0
120,Dhule,IN,20.9,74.7833,86.22,59,85,7.05,overcast clouds,0.0,0.0
121,Morro Bay,US,35.3658,-120.8499,77.79,75,26,4.0,scattered clouds,0.0,0.0
122,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,20,9.53,few clouds,0.0,0.0
123,Lima,PE,-12.0432,-77.0282,63.14,88,90,10.36,overcast clouds,0.0,0.0
124,Makakilo City,US,21.3469,-158.0858,80.62,68,90,11.5,overcast clouds,0.0,0.0
