City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.15,broken clouds,-23.1203,-134.9692,Pension Maro'i
1,Houma,US,75.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
2,Bandarbeyla,SO,77.97,overcast clouds,9.4942,50.8122,JABIR HOTEL
3,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
4,Atuona,PF,79.47,clear sky,-9.8,-139.0333,Villa Enata
7,Salvador,SV,75.6,overcast clouds,13.8333,-88.9167,Chico's Ranch
12,Muros,ES,64.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
13,Fayaoue,NC,72.28,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
14,Fairbanks,US,68.59,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
15,Butaritari,KI,82.96,few clouds,3.0707,172.7902,Isles Sunset Lodge
17,Ponta Do Sol,PT,64.0,few clouds,32.6667,-17.1,Hotel do Campo
18,Puerto Ayora,EC,73.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Keningau,MY,84.65,overcast clouds,5.3378,116.1602,Sabindo Hotel
23,Isiro,CD,66.78,broken clouds,2.7739,27.616,Guest House Hewa Bora
26,Lorengau,PG,83.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,Nishihara,JP,78.08,overcast clouds,26.1842,127.7558,Minshuku Agaihama
31,Waingapu,ID,83.37,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
32,Bilma,NE,86.23,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
33,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
34,Iralaya,HN,80.46,scattered clouds,15.0,-83.2333,Iglesia morava renovada
35,Bowen,AU,75.42,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
38,Arraial Do Cabo,BR,73.6,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
41,Sao Gabriel Da Cachoeira,BR,73.35,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
47,Hueytown,US,64.62,clear sky,33.4512,-86.9967,Saddleridge Mobile Home Community | Notting Hill Apartments
51,Faanui,PF,79.68,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
54,Bentonville,US,64.62,clear sky,36.3728,-94.2088,Hilton Garden Inn Bentonville Rogers
56,Banjarmasin,ID,86.14,scattered clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
57,Lagoa,PT,62.31,overcast clouds,39.05,-27.9833,Casa Das Faias
60,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
61,Aztec,US,81.81,broken clouds,36.8222,-107.9929,Presidential Inn & Suites
62,Saint-Philippe,RE,70.21,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Zaragoza,ES,68.11,clear sky,41.6561,-0.8773,Hotel Goya
66,Kapaa,US,83.19,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Lixourion,GR,63.52,few clouds,38.2019,20.4314,Hotel Summery
69,Bridgetown,BB,81.09,broken clouds,13.1,-59.6167,Hilton Barbados Resort
70,Sao Filipe,CV,72.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
72,College,US,69.46,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
74,Port-Gentil,GA,78.93,overcast clouds,-0.7193,8.7815,Fengshui Residence
75,Hithadhoo,MV,83.79,clear sky,-0.6,73.0833,Scoop Guest House
76,Nizwa,OM,83.08,broken clouds,22.9333,57.5333,Orient Apartments
77,Saint Anthony,US,61.12,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
78,Kamaishi,JP,67.15,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
79,Baghmara,IN,89.73,broken clouds,23.795,86.2085,Shankar tea shop
82,Baiyin,CN,67.08,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
88,Honjo,JP,78.67,clear sky,36.2333,139.1833,Hotel Honjo
92,Grand Gaube,MU,71.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
95,Cabo San Lucas,MX,86.5,clear sky,22.8909,-109.9124,Tesoro Los Cabos
99,Nicoya,CR,80.15,overcast clouds,10.1483,-85.452,Guayacan Real
100,Sompeta,IN,88.23,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
103,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
104,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
105,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
106,Byron Bay,AU,68.11,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
108,Luwuk,ID,84.54,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
111,Tevaitoa,PF,79.27,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
112,Shihezi,CN,81.64,few clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
113,Alta Floresta,BR,72.61,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
116,Erenhot,CN,60.24,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
120,Dhule,IN,86.22,overcast clouds,20.9,74.7833,Hotel Dwarkamai
121,Morro Bay,US,77.79,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
122,Bambous Virieux,MU,71.22,few clouds,-20.3428,57.7575,Casa Tia Villa
123,Lima,PE,63.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
124,Makakilo City,US,80.62,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
127,Bengkulu,ID,79.93,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
128,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
129,Wajima,JP,68.68,broken clouds,37.4,136.9,Wajiima Onsen Yashio
132,Esil,KZ,72.45,broken clouds,51.9556,66.4042,Egorkino Hotel
137,San Patricio,US,80.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Itaituba,BR,77.54,scattered clouds,-4.2761,-55.9836,Hotel Campos
139,Boyolangu,ID,81.82,broken clouds,-8.1181,111.8935,Yos ega cv
141,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
143,Tafalla,ES,63.48,few clouds,42.5269,-1.6745,Hostal Arotza
147,Cherskiy,RU,63.88,clear sky,68.75,161.3,Gostinitsa
151,Dire Dawa,ET,69.55,few clouds,9.5931,41.8661,Samrat Hotel
153,Faya,SA,64.51,clear sky,18.3851,42.4509,مقبرة ال مجمل
154,Hualmay,PE,64.98,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
155,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
156,Omboue,GA,75.94,overcast clouds,-1.5746,9.2618,Hotel Olako
162,Port Blair,IN,80.64,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
170,Sainte-Marie,RE,70.77,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
172,Loandjili,CG,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
174,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
175,Beaverlodge,CA,65.55,overcast clouds,55.2166,-119.4361,Side Trax Inn
176,Itarema,BR,76.26,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
177,Anchorage,US,61.68,overcast clouds,61.2181,-149.9003,Hotel Captain Cook
180,Marshall,US,64.71,clear sky,34.3834,-86.3333,Riverview Campground
185,Port Antonio,JM,84.11,overcast clouds,18.18,-76.4612,The Trident Hotel
190,Sur,OM,88.92,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
191,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
192,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
193,Green River,US,63.0,scattered clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
200,Barcelos,PT,64.92,clear sky,41.5388,-8.6151,Hotel Do Terço
202,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
203,Zhangye,CN,67.15,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
205,Dwarka,IN,83.48,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
206,Rabo De Peixe,PT,60.31,few clouds,37.8,-25.5833,Quinta das Giestas
207,Hasaki,JP,77.18,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
209,Barkot,IN,72.59,clear sky,30.8167,78.2,Camp Nirvana Yamunotri
210,Taree,AU,65.07,scattered clouds,-31.9,152.4667,All Seasons Country Lodge Taree
211,Vila Velha,BR,75.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
212,Eyl,SO,77.56,overcast clouds,7.9803,49.8164,Amiin Hotel
215,Yamada,JP,63.12,broken clouds,39.4667,141.95,Iroha-ya Inn
218,Staraya Poltavka,RU,64.22,overcast clouds,50.4772,46.4814,"Hotel ""Oktyabrskaya"""
219,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
221,Zaria,NG,76.8,clear sky,11.1113,7.7227,A.B.U Hotels
224,Tahta,EG,78.91,clear sky,26.7693,31.5021,El Salam Hotel
226,Villa Bruzual,VE,79.65,overcast clouds,9.3328,-69.1208,Edificio Guarente
231,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
234,Karratha,AU,74.43,clear sky,-20.7377,116.8463,ibis Styles Karratha
235,Komsomolskiy,UZ,78.22,clear sky,40.4272,71.7189,Ikathouse
240,Shahrud,IR,75.58,clear sky,36.4182,54.9763,Royal Hotel
241,Locri,IT,64.17,clear sky,38.2414,16.2623,Grand Hotel President
243,Tecolutla,MX,80.65,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
244,Mareeba,AU,75.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
245,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
